# Network Traffic Log for Exercise 2
# Format: timestamp,source_ip,destination_ip,bytes,protocol
# Generated sample data for probabilistic data structure analysis
1705320035,172.16.45.100,10.0.0.1,768,UDP
1705320036,192.168.1.15,10.0.0.1,2048,TCP
1705320036,10.150.30.75,10.0.0.5,1024,TCP
1705320037,10.45.23.78,10.0.0.2,512,TCP
1705320037,10.100.50.25,10.0.0.3,1500,TCP
1705320038,172.16.45.100,10.0.0.2,3072,TCP
1705320038,10.200.75.50,10.0.0.4,2048,TCP
1705320039,192.168.1.15,10.0.0.1,4096,TCP
1705320039,10.45.23.78,10.0.0.1,1024,TCP
1705320040,10.150.30.75,10.0.0.5,768,UDP
1705320040,172.16.45.100,10.0.0.1,512,TCP
1705320041,10.100.50.25,10.0.0.3,1500,TCP
1705320041,192.168.1.15,10.0.0.1,2048,TCP
1705320042,10.200.75.50,10.0.0.4,3072,TCP
1705320042,10.45.23.78,10.0.0.1,1024,TCP
1705320043,172.16.45.100,10.0.0.2,4096,TCP
1705320043,10.150.30.75,10.0.0.5,512,TCP
1705320044,192.168.1.15,10.0.0.1,768,TCP
1705320044,10.100.50.25,10.0.0.3,1500,UDP
1705320045,10.45.23.78,10.0.0.2,2048,TCP
1705320045,10.200.75.50,10.0.0.4,1024,TCP
1705320046,172.16.45.100,10.0.0.1,512,TCP
1705320046,192.168.1.15,10.0.0.1,3072,TCP
1705320047,10.150.30.75,10.0.0.5,4096,TCP
1705320047,10.45.23.78,10.0.0.1,1500,TCP
1705320048,10.100.50.25,10.0.0.3,768,TCP
1705320048,172.16.45.100,10.0.0.2,2048,TCP
1705320049,10.200.75.50,10.0.0.4,1024,UDP
1705320049,192.168.1.15,10.0.0.1,512,TCP
